,osurl,subject
269,"https://explorer-api.opensyllabus.org/v1/works/49709951484203.json
","Mythology, Greek."
270,"https://explorer-api.opensyllabus.org/v1/works/37993280702392.json
",Greece
271,"https://explorer-api.opensyllabus.org/v1/works/37993280702392.json
",Greece
272,"https://explorer-api.opensyllabus.org/v1/works/33457795238767.json
",Rome
273,"https://explorer-api.opensyllabus.org/v1/works/8031589099972.json
",Electra (Greek mythology)
274,"https://explorer-api.opensyllabus.org/v1/works/51135880628345.json
",Homer.
275,"https://explorer-api.opensyllabus.org/v1/works/51135880628345.json
",Achilles (Greek mythology) in literature.
276,"https://explorer-api.opensyllabus.org/v1/works/51135880628345.json
",Trojan War in literature.
277,"https://explorer-api.opensyllabus.org/v1/works/48627619727952.json
","Art, Greek"
278,"https://explorer-api.opensyllabus.org/v1/works/48627619727952.json
",Women
279,"https://explorer-api.opensyllabus.org/v1/works/48627619727952.json
",Women in art
280,"https://explorer-api.opensyllabus.org/v1/works/48627619727952.json
",Women in mythology.
281,"https://explorer-api.opensyllabus.org/v1/works/50611894618041.json
",Sophocles
282,"https://explorer-api.opensyllabus.org/v1/works/50611894618041.json
",Sophocles
283,"https://explorer-api.opensyllabus.org/v1/works/50611894618041.json
",Characters and characteristics in literature.
284,"https://explorer-api.opensyllabus.org/v1/works/50611894618041.json
",Drama
285,"https://explorer-api.opensyllabus.org/v1/works/8761733793390.json
",Discourse analysis.
286,"https://explorer-api.opensyllabus.org/v1/works/8761733793390.json
",Translating and interpreting.
287,"https://explorer-api.opensyllabus.org/v1/works/52725018527857.json
",Sacred space
288,"https://explorer-api.opensyllabus.org/v1/works/52725018527857.json
",Shrines
289,"https://explorer-api.opensyllabus.org/v1/works/52725018527857.json
",Greece
290,"https://explorer-api.opensyllabus.org/v1/works/55310588839422.json
",Greek drama (Tragedy)
291,"https://explorer-api.opensyllabus.org/v1/works/7602092333425.json
",Translating and interpreting
292,"https://explorer-api.opensyllabus.org/v1/works/50302656971058.json
","Art, Classical."
293,"https://explorer-api.opensyllabus.org/v1/works/49632642075073.json
",Latin literature
294,"https://explorer-api.opensyllabus.org/v1/works/49632642075073.json
",Rome
295,"https://explorer-api.opensyllabus.org/v1/works/8658654571620.json
","Mythology, Greek"
296,"https://explorer-api.opensyllabus.org/v1/works/47382079210797.json
",Historicism
297,"https://explorer-api.opensyllabus.org/v1/works/47382079210797.json
",Literature and history
298,"https://explorer-api.opensyllabus.org/v1/works/47382079210797.json
",Greek drama (Tragedy)
299,"https://explorer-api.opensyllabus.org/v1/works/47382079210797.json
",Greece
300,"https://explorer-api.opensyllabus.org/v1/works/47382079210797.json
",Athens (Greece)
301,"https://explorer-api.opensyllabus.org/v1/works/8924942545112.json
",Translating and interpreting
302,"https://explorer-api.opensyllabus.org/v1/works/8924942545112.json
",Translating and interpreting.
303,"https://explorer-api.opensyllabus.org/v1/works/46050639348607.json
",Women
304,"https://explorer-api.opensyllabus.org/v1/works/46050639348607.json
",Women
305,"https://explorer-api.opensyllabus.org/v1/works/46050639348607.json
",Women
306,"https://explorer-api.opensyllabus.org/v1/works/51926154608873.json
",Symposium (Classical Greek drinking party)
307,"https://explorer-api.opensyllabus.org/v1/works/57569741637272.json
","Love poetry, Latin"
308,"https://explorer-api.opensyllabus.org/v1/works/57569741637272.json
",Rome
309,"https://explorer-api.opensyllabus.org/v1/works/52235392255465.json
",Social problems in literature.
310,"https://explorer-api.opensyllabus.org/v1/works/52235392255465.json
",Literature and society
311,"https://explorer-api.opensyllabus.org/v1/works/52235392255465.json
",Politics and literature
312,"https://explorer-api.opensyllabus.org/v1/works/52235392255465.json
","Political plays, Greek"
313,"https://explorer-api.opensyllabus.org/v1/works/52235392255465.json
",Greek drama (Comedy)
314,"https://explorer-api.opensyllabus.org/v1/works/7507602833423.json
",Seven against Thebes (Greek mythology)
315,"https://explorer-api.opensyllabus.org/v1/works/35639638624276.json
",Mythology.
316,"https://explorer-api.opensyllabus.org/v1/works/35639638624276.json
","Magic, Roman."
317,"https://explorer-api.opensyllabus.org/v1/works/35639638624276.json
","Magic, Greek."
318,"https://explorer-api.opensyllabus.org/v1/works/8778913612611.json
",Mythology.
319,"https://explorer-api.opensyllabus.org/v1/works/8778913612611.json
","Magic, Roman."
320,"https://explorer-api.opensyllabus.org/v1/works/8778913612611.json
","Magic, Greek."
321,"https://explorer-api.opensyllabus.org/v1/works/25640954757125.json
","Claudius,"
322,"https://explorer-api.opensyllabus.org/v1/works/25640954757125.json
","Satire, Latin"
323,"https://explorer-api.opensyllabus.org/v1/works/75548474737315.json
","Claudius,"
324,"https://explorer-api.opensyllabus.org/v1/works/75548474737315.json
","Satire, Latin"
325,"https://explorer-api.opensyllabus.org/v1/works/8418136409610.json
",Language and culture.
326,"https://explorer-api.opensyllabus.org/v1/works/8418136409610.json
",Translating and interpreting.
327,"https://explorer-api.opensyllabus.org/v1/works/55310588840215.json
","Parthenon (Athens, Greece)"
328,"https://explorer-api.opensyllabus.org/v1/works/55310588840215.json
",Festivals
329,"https://explorer-api.opensyllabus.org/v1/works/55310588840215.json
","Arts, Greek."
